Año	T	TM	Tm	PP	V	RA	SN	TS	FG	TN	GR
1973	13.8	19.9	8.5	210.30	19.1	80	3	30	61	0	0
1974	13.8	19.7	8.5	616.48	16.6	100	0	21	63	0	2
1975	14.0	19.7	8.9	301.76	14.2	107	3	24	106	0	2
1976	14.3	20.2	8.9	278.12	16.0	114	1	38	75	0	4
1977	13.9	19.6	9.4	420.15	16.2	122	5	15	76	0	3
1978	14.1	20.0	9.3	202.44	21.5	89	4	7	41	0	0
1979	14.4	19.8	10.0	276.13	21.5	99	2	25	27	0	0
1980	13.9	19.5	9.3	240.03	22.5	84	1	12	38	0	1
1981	15.0	20.8	10.1	228.09	18.9	76	1	12	22	0	0
1982	14.9	20.3	10.6	334.75	18.7	89	0	24	24	0	1
1983	14.9	20.8	9.8	274.36	17.8	80	0	20	24	0	0
1984	14.1	19.8	9.1	338.11	18.2	115	1	10	19	0	0
1985	14.6	20.5	9.2	229.80	17.6	99	7	22	19	0	1
1986	15.0	20.4	9.4	225.10	20.3	81	0	23	21	0	0
1987	15.4	20.8	9.6	304.07	17.9	85	9	14	27	0	3
1988	14.9	20.9	9.1	577.34	16.8	89	1	26	22	0	0
1989	15.3	21.7	9.7	324.88	15.2	106	4	24	34	0	1
1990	15.6	21.8	9.9	694.98	15.5	106	3	31	28	2	0
1991	15.1	21.0	9.5	604.59	16.5	111	1	33	26	0	1
1992	14.6	20.6	9.4	256.57	16.6	114	2	33	33	0	3
1993	14.0	20.2	9.1	242.04	15.6	113	2	31	39	0	1
1994	15.7	21.8	10.6	206.77	17.5	74	0	18	37	0	0
1995	15.5	22.0	10.2	187.49	18.0	90	1	17	17	0	0
1996	14.4	20.5	9.4	383.59	17.8	109	7	23	19	0	0
1997	15.7	21.9	10.3	450.88	13.9	105	6	33	24	0	0
1998	15.1	21.5	9.8	189.52	17.3	89	2	17	26	0	0
1999	14.9	21.1	9.8	330.67	17.2	105	0	27	24	0	0
2000	15.1	21.5	9.9	-	16.5	97	1	24	14	0	0
2001	15.2	21.7	9.8	-	17.0	82	1	15	17	0	0
2002	-	-	-	-	-	111	0	22	16	0	1
2003	15.9	22.2	10.4	404.36	14.9	121	6	20	23	1	0
2004	15.1	21.2	9.9	286.50	16.3	104	3	23	29	1	0
2005	-	-	-	-	-	-	-	-	-	-	-
2006	15.9	22.2	10.7	283.73	15.2	104	1	30	30	0	2
2007	15.0	21.3	9.7	404.88	16.0	92	2	17	23	0	1
2008	15.0	21.2	9.7	371.79	14.9	123	1	27	24	0	0
2009	15.6	22.3	10.3	211.54	16.5	99	6	25	28	1	1
2010	14.5	20.8	9.5	294.61	17.8	110	10	21	21	0	0
